friends,followes,readability
0,0,0
0,0,4
0,0,2
0,0,0
537448,523515,0
0,0,2
0,0,2
0,0,3
46824,46236,3
149787,144566,2
823844,815195,5
537448,523515,3
4157,4344,3
0,0,0
4157,4344,1
628597,617338,0
416462,418512,0
0,0,4
247038,239927,2
0,0,0
358257,150016,4
0,0,1
37718,36462,4
0,0,2
0,0,3
0,0,1
0,0,0
246043,515530,1
0,0,1
28514,26157,3
0,0,6
0,0,2
0,0,1
28514,26157,0
0,0,1
0,0,0
0,0,0
0,0,2
0,0,3
0,0,3
0,0,4
4157,4344,2
894210,903764,1
0,0,4
0,0,1
0,0,0
0,0,0
0,0,2
0,0,3
0,0,0
0,0,4
0,0,1
10248,10271,0
823844,815195,2
823844,815195,5
37718,36462,1
242009,249571,1
231947,228432,0
46824,46236,0
596710,561909,2
0,0,0
0,0,4
0,0,1
0,0,4
111722,106126,0
358257,150016,1
0,0,4
0,0,1
0,0,5
614338,622508,1
597340,618906,2
0,0,2
0,0,0
42042,41347,0
0,0,2
46824,46236,2
0,0,6
0,0,3
0,0,0
0,0,1
996193,739521,1
358257,150016,2
0,0,0
0,0,1
79800,79476,3
0,0,2
0,0,0
224402,223919,0
0,0,1
0,0,0
0,0,2
628597,617338,0
0,0,0
0,0,0
894210,903764,4
0,0,4
26489,26652,1
358257,150016,1
440208,914158,3
0,0,2
616920,597053,0
0,0,0
0,0,3
127093,128617,1
0,0,0
422730,424756,0
0,0,1
0,0,0
0,0,4
0,0,0
942649,944949,0
0,0,1
0,0,0
77740,76520,2
0,0,3
0,0,3
0,0,1
0,0,3
149787,144566,1
0,0,2
10248,10271,0
0,0,0
422730,424756,0
127093,128617,1
0,0,0
1402,1375,3
0,0,0
0,0,0
0,0,3
0,0,0
0,0,4
614338,622508,0
0,0,3
