website_type,safety_r,reputation,trustworthiness,child_safety,date
2,1,3.4,68,79,792
2,1,3.4,68,79,796
2,1,0,0,0,817
2,1,0,0,0,814
2,2,4.5,91,53,806
2,2,4.7,94,94,817
2,1,0,0,0,812
2,1,3.4,68,79,791
2,2,3.1,63,68,819
2,1,4.3,87,0,798
2,1,4.3,87,0,815
2,2,4.5,89,87,811
2,2,3.1,63,68,819
2,1,0,0,0,791
2,2,3.1,63,68,818
1,2,4.5,90,90,811
2,1,2.8,56,56,818
2,2,4.5,89,88,816
2,1,0,0,0,812
2,1,0,0,0,803
2,2,3.1,63,68,819
2,1,0,0,0,802
2,1,3.1,63,77,808
2,2,3.1,63,68,819
2,2,3.5,69,70,793
3,2,4.3,86,84,820
2,1,0,0,0,800
2,2,4.7,94,94,809
2,1,2.5,50,29,818
2,2,3.9,77,99,820
2,0,1.2,24,28,809
2,2,4,81,76,819
2,1,2.5,50,29,791
2,2,3.1,63,68,819
2,2,4.5,89,87,811
2,1,2.9,57,71,807
2,1,3.4,68,79,814
2,1,0,0,0,819
2,0,1.2,24,28,820
2,2,4,81,76,817
2,1,0,0,0,814
2,1,0,0,0,812
2,2,3.5,69,70,795
2,2,4.7,94,94,814
2,1,4,80,93,819
2,1,3.1,63,77,808
2,1,4.3,86,100,812
2,1,0,0,0,809
2,1,4.3,86,100,816
2,1,4.3,87,0,819
8,2,4.6,92,92,811
2,1,0,0,0,795
2,1,4,80,93,793
2,2,4.7,94,94,811
2,2,4.7,94,82,807
2,2,3.1,63,68,818
8,2,4.6,92,92,795
2,1,2.8,56,56,817
2,1,0,0,0,800
2,1,2.1,42,58,790
2,1,2.5,50,29,804
2,2,3.1,63,68,819
2,1,2.8,56,56,817
2,1,2.5,50,0,820
2,2,4.5,89,87,818
2,1,0,0,0,809
2,1,2.4,48,3,818
2,2,3.5,69,70,818
2,1,4.3,87,0,815
3,2,4.2,83,86,810
2,2,3.5,69,70,798
1,2,3.6,72,85,797
2,1,0,0,0,802
2,1,4.3,86,100,804
2,1,3.1,63,77,814
2,1,4,80,93,799
2,2,3.5,69,70,797
2,1,0,0,0,814
3,2,4.3,86,84,820
2,1,0,0,0,800
8,2,4.6,92,92,819
2,1,0,0,0,812
2,1,2.1,42,58,808
2,1,0,0,0,817
2,0,1.2,24,28,790
2,2,4.5,89,87,815
2,2,3.1,63,68,818
1,2,3.6,72,85,796
2,1,2.5,50,29,790
2,1,2.5,50,0,813
2,1,0,0,0,811
2,2,4.5,89,87,806
2,1,0,0,0,816
2,1,3,60,55,816
2,1,2.9,57,71,812
2,1,0,0,0,813
2,1,0,0,0,818
2,2,3.5,69,70,811
2,2,3.5,69,70,792
2,2,3.5,69,70,792
2,1,0,0,0,819
2,1,0,0,0,792
1,2,4.5,90,90,812
2,1,0,0,0,797
2,2,3.5,69,70,797
2,1,0,0,0,815
2,2,3.5,69,70,813
2,1,4,80,93,806
2,2,4,81,76,819
2,1,0,0,0,809
2,1,0,0,0,802
2,1,0,0,0,819
8,2,4.6,92,92,800
2,2,4.1,82,90,818
2,2,4.1,82,86,819
2,1,1.6,33,31,805
6,1,2.3,45,41,818
2,2,4.3,86,89,803
2,2,3.1,63,68,818
2,2,4.7,94,82,811
2,1,0,0,0,814
2,2,3.1,63,68,819
2,1,0,0,0,808
2,1,0,0,0,816
2,1,0,0,0,818
2,2,3.5,69,70,791
2,1,4,80,93,803
1,2,4.5,90,90,810
2,2,3.1,63,68,819
2,1,4.7,94,61,807
2,1,2.4,48,3,812
2,1,3.3,66,61,820
2,1,0,0,0,801
2,2,4.7,94,94,815
2,1,0,0,0,809
2,2,3.1,63,68,819
2,1,0,0,0,802
2,1,0,0,0,794
2,1,0,0,0,814
2,1,0,0,0,806
2,1,4,80,93,805
2,1,3.4,68,79,804
2,1,4.3,87,0,816
2,2,4.5,89,87,812
2,2,3.1,63,68,818
2,1,0,0,0,799
2,2,3.9,77,99,820
2,1,0,0,0,812
2,1,2.5,50,0,812
2,1,2.5,50,29,804
2,1,0,0,0,797
2,1,4,80,93,801
2,1,0,0,0,819
2,2,4.5,89,87,807
2,1,3,61,62,813
2,2,3.1,63,68,819
2,1,0,0,0,790
2,2,3.9,77,99,820
2,1,0,0,0,817
2,1,4,80,93,794
2,2,4.3,85,86,800
2,0,1.2,24,28,816
2,2,3.5,69,70,817
2,1,0,0,0,790
2,1,0,0,0,809
2,2,4.3,87,87,813
2,1,0,0,0,792
2,1,0,0,0,802
2,1,4.2,84,0,805
2,1,3.3,66,61,820
2,1,0,0,0,803
1,2,3.6,72,85,797
2,1,2.5,50,0,818
2,1,3.4,68,79,799
1,2,3.6,72,85,818
2,1,2.5,50,29,819
2,1,0,0,0,811
2,1,2.8,56,56,811
2,2,4.1,82,90,817
2,1,4,80,93,820
2,1,0,0,0,800
2,1,0,0,0,802
2,1,2.5,50,11,814
2,1,0,0,0,814
2,1,0,0,0,810
1,2,3.6,72,85,801
2,1,2.5,50,0,811
2,1,2.5,50,11,809
2,1,0,0,0,817
2,1,0,0,0,803
2,2,3.1,63,68,818
2,2,3.1,63,68,818
2,2,4,81,76,818
1,1,2.9,58,76,807
2,2,4.1,82,86,813
2,1,0,0,0,818
2,1,0,0,0,793
2,1,0,0,0,798
2,1,4.3,87,0,814
1,1,3,60,54,814
2,1,0,0,0,800
1,2,3.6,72,85,804
2,1,0,0,0,813
2,1,0,0,0,815
2,1,0,0,0,806
2,1,4,80,93,812
2,2,4,81,76,818
2,1,4,80,93,806
2,1,0,0,0,815
2,1,2.5,49,51,815
2,2,4.7,94,82,807
2,2,4.1,82,86,819
2,1,0,0,0,792
2,1,4.6,92,90,812
2,2,4.7,94,82,820
2,1,0,0,0,805
2,1,0,0,0,791
2,1,0,0,0,818
2,2,4.3,87,87,814
2,2,4.7,94,82,814
2,2,3.1,63,68,818
2,2,3.1,63,68,818
2,2,4.7,94,82,819
2,1,4.3,87,0,817
2,1,0.3,7,29,820
2,2,4.5,89,87,807
2,1,2.5,50,0,805
2,1,0,0,0,799
2,2,3.1,63,68,819
2,1,4,80,93,805
2,2,4.7,94,82,811
1,2,4.5,90,90,819
2,2,4.3,87,87,814
2,1,4.3,87,0,794
2,2,4.5,89,87,818
2,1,0,0,0,805
2,2,3.1,63,68,819
2,2,3.1,63,68,819
2,2,4.7,94,82,807
2,2,4.7,94,82,810
2,1,4.3,87,0,812
2,1,0,0,0,802
2,2,3.8,75,95,808
2,1,3.3,66,61,820
2,1,2.5,50,0,812
2,1,0,0,0,802
2,2,4.7,94,82,806
2,1,3.6,72,80,799
2,2,3.1,63,68,818
2,1,0,0,0,813
2,1,2.5,50,0,792
2,1,3.3,66,61,819
2,1,4,80,93,812
2,1,2.5,49,51,814
2,1,0,0,0,808
2,2,3.1,63,68,818
2,2,4.7,94,82,815
2,1,4,80,93,793
2,1,0,0,0,818
2,1,2.1,42,58,790
2,2,3.1,63,68,818
2,2,4.7,94,82,811
2,1,0,0,0,799
2,2,4.7,94,82,806
2,1,0,0,0,792
2,1,3.3,65,84,796
2,2,3.1,63,68,818
3,1,3.9,78,82,790
2,2,4.7,94,82,815
2,1,0,0,0,804
2,1,0,0,0,812
2,1,2.8,56,56,813
2,1,4.3,87,0,811
2,1,4.3,87,0,815
3,1,3.9,78,82,806
2,1,4.3,87,0,816
2,2,4.7,94,82,807
