website_type,friends,followes,safety_r,reputation,trustworthiness,child_safety
2,422556,424165,2,4.3,87,87
2,569990,975522,2,4.7,94,82
3,34089,34114,1,3.9,78,82
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,1,4.6,92,90
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,0,0,2,4.7,94,94
2,0,0,2,4.5,89,87
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
2,596749,561904,2,3.1,63,68
8,942660,944956,2,4.6,92,92
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
2,0,0,2,4.7,94,94
2,0,0,2,4.1,82,90
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,2.5,50,0
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
4,0,0,1,0,0,0
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,596749,561904,2,3.1,63,68
1,894063,903261,2,3.6,72,85
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,1,3,60,0
2,0,0,2,4.5,91,53
2,372227,304568,1,3.3,65,84
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,247478,141344,2,4,81,85
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,0,0,1,4.3,87,0
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,3.3,66,61
2,0,0,1,0,0,0
3,0,0,1,2.5,50,52
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,0,0,2,4.1,82,90
8,942660,944956,2,4.6,92,92
2,569990,975522,2,4.7,94,82
7,823844,815195,2,4.7,93,89
2,0,0,1,2.4,48,3
4,0,0,1,0,0,0
2,0,0,1,2.9,58,80
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,569990,975522,2,4.7,94,82
2,616717,596782,2,3.5,70,74
2,0,0,2,4.7,94,94
2,0,0,1,0,0,0
2,0,0,1,2.8,56,56
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,1,2.5,50,11
2,17913,17979,2,3.5,69,70
2,0,0,1,2.5,50,0
2,596749,561904,2,3.1,63,68
1,0,0,1,3,60,54
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,2.5,50,11
2,1402,1375,1,0,0,0
2,353664,342787,1,4,80,93
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,17913,17979,2,3.5,69,70
2,596749,561904,2,3.1,63,68
2,0,0,1,0.3,7,29
2,59051,60734,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,2.5,50,0
2,569990,975522,2,4.7,94,82
2,724899,724899,2,4.3,85,87
2,353664,342787,1,4,80,93
2,108241,107041,1,2.1,42,58
2,372227,304568,1,3.3,65,84
2,0,0,2,4.4,88,88
2,0,0,1,4.2,84,0
2,353664,342787,1,4,80,93
2,17913,17979,2,3.5,69,70
2,0,0,1,0,0,0
1,894063,903261,2,3.6,72,85
2,17913,17979,2,3.5,69,70
1,894063,903261,2,3.6,72,85
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,194264,192570,2,4.3,86,89
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,0,0,1,3.5,70,0
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,0,0,2,4.5,89,87
2,596749,561904,2,3.1,63,68
2,17913,17979,2,3.5,69,70
2,353664,342787,1,4,80,93
2,10075,10561,1,4.3,86,100
2,0,0,1,3,60,0
2,0,0,2,4.5,89,87
3,714,782,2,4.3,86,84
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
1,0,0,1,3,60,54
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,2,4.7,94,94
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,0,0,1,2.8,56,56
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,127093,128617,2,4.3,87,87
2,0,0,1,3.6,72,93
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,569990,975522,2,4.7,94,82
2,0,0,2,3.9,77,99
2,0,0,1,2.5,50,11
2,569990,975522,2,4.7,94,82
1,894063,903261,2,3.6,72,85
2,10252,10661,1,3.3,65,82
2,0,0,2,4.5,89,87
3,714,782,2,4.3,86,84
2,569990,975522,2,4.7,94,82
2,0,0,2,4.5,89,87
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,127093,128617,2,4.3,87,87
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,2,4.5,90,89
3,34089,34114,1,3.9,78,82
2,0,0,1,0,0,0
2,4155,4342,1,3.8,76,97
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,0,0,1,2.5,49,51
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,0,0,2,3.9,77,99
2,0,0,1,3,60,0
2,0,0,2,4.1,82,90
2,0,0,2,4.7,94,94
3,34089,34114,1,3.9,78,82
2,353664,342787,1,4,80,93
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,1,2.5,50,0
2,569990,975522,2,4.7,94,82
2,17913,17979,2,3.5,69,70
2,358261,150020,2,3.6,73,71
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
1,0,0,1,3,60,54
2,569990,975522,2,4.7,94,82
1,894063,903261,2,3.6,72,85
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,616717,596782,2,3.5,70,74
2,0,0,2,4.5,89,87
2,569990,975522,2,4.7,94,82
1,0,0,1,3,60,54
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,127093,128617,2,4.3,87,87
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,2,3.9,77,99
2,0,0,1,4.6,92,90
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,31190,31215,1,2.5,50,33
2,0,0,1,3.1,62,77
2,0,0,2,4.5,91,88
2,0,0,1,3.9,77,0
2,247459,141328,2,4,81,85
2,0,0,1,3.4,67,78
2,127093,128617,2,4.3,87,87
2,0,0,1,3.1,63,86
8,942649,944949,2,4.6,92,92
2,416462,418512,1,2.5,50,46
2,0,0,1,1.7,34,35
2,127093,128617,2,4.3,87,87
2,31593,30850,1,3.5,63,85
2,0,0,1,3.4,67,78
2,0,0,2,4.5,91,88
2,0,0,1,0,0,0
2,118605,114819,2,4.5,90,91
1,0,0,2,4.2,83,83
2,0,0,2,4.2,83,80
2,0,0,2,4.1,82,90
2,628597,617338,1,3,60,87
2,0,0,1,3,61,82
2,44979,43167,2,4,81,84
2,0,0,1,3.4,68,89
2,0,0,2,3.8,75,98
2,0,0,1,3.4,67,78
2,0,0,1,3,61,65
3,0,0,1,1.3,26,24
2,0,0,1,2.6,52,49
2,0,0,1,2.6,52,49
2,77740,76520,1,3,60,65
2,846903,806206,2,4.7,93,91
2,0,0,1,3,61,65
2,422730,424756,2,4.3,87,87
2,0,0,1,2.5,51,41
2,0,0,1,3.9,77,0
2,358257,150016,2,3.6,73,71
2,0,0,2,3.9,78,79
2,0,0,1,3.9,77,0
1,894210,903764,2,3.6,72,85
2,0,0,2,4.6,92,91
2,4157,4344,1,3.8,76,97
2,628597,617338,1,3,60,87
2,0,0,1,0,0,0
2,0,0,1,3.4,67,67
2,189418,186681,1,3.4,67,76
2,846903,806206,2,4.7,93,91
2,0,0,2,4.5,89,88
2,79800,79476,1,2.7,54,49
2,0,0,1,0,0,0
2,0,0,1,0,0,0
3,0,0,2,4.3,86,84
2,0,0,1,0,0,0
2,0,0,1,3.1,62,62
2,0,0,1,2.6,53,59
5,0,0,1,2.3,45,24
2,242009,249571,2,3.2,64,65
2,231947,228432,1,3.7,74,87
2,247038,239927,2,4.5,89,89
2,616920,597053,2,3.5,70,74
2,28514,26157,1,3,60,72
2,0,0,1,2.6,53,59
2,77740,76520,1,3,60,65
2,0,0,2,4.7,93,90
2,0,0,1,0,0,0
2,0,0,2,4.6,92,91
2,0,0,1,3.5,70,82
5,0,0,1,2.2,44,39
2,0,0,1,3.6,73,71
2,0,0,1,3.6,73,71
2,0,0,1,0,0,0
2,457911,402901,2,4,79,87
2,0,0,2,4.6,92,92
2,0,0,1,3.4,67,78
5,37718,36462,2,4.3,86,88
2,0,0,2,4.5,90,89
2,1402,1375,1,0,0,0
2,0,0,2,4.5,89,91
2,242009,249571,2,3.2,64,65
2,0,0,1,0,0,0
2,0,0,2,4,81,80
2,118605,114819,2,4.5,90,91
2,0,0,1,3.4,67,67
5,0,0,1,2.3,45,24
2,118605,114819,2,4.5,90,91
2,0,0,1,0,0,0
1,0,0,2,4.6,92,91
2,614338,622508,1,3.3,66,84
2,0,0,2,3.9,78,79
2,0,0,1,3.1,63,74
2,0,0,1,2.6,53,59
2,0,0,1,0,0,0
2,0,0,2,3.9,78,79
2,0,0,2,4,81,80
2,0,0,1,3.4,68,89
2,358257,150016,2,3.6,73,71
2,0,0,1,0,0,0
2,44979,43167,2,4,81,84
2,0,0,1,4,80,86
2,0,0,2,4.5,89,88
8,942649,944949,2,4.6,92,92
2,628597,617338,1,3,60,87
1,0,0,2,4.2,83,83
1,0,0,2,4.6,92,91
2,330704,318461,2,4.3,87,89
2,0,0,1,0,0,0
2,0,0,1,3.4,68,89
2,846903,806206,2,4.7,93,91
3,537448,523515,2,4.2,83,86
2,0,0,2,4.5,89,91
8,942649,944949,2,4.6,92,92
2,79800,79476,1,2.7,54,49
2,0,0,2,4.5,90,89
2,0,0,2,4.4,88,91
2,0,0,2,4.5,89,91
2,0,0,1,0,0,0
2,111722,106126,2,3.3,65,70
2,0,0,1,0,0,0
2,0,0,2,4.4,88,91
2,247038,239927,2,4.5,89,89
2,44979,43167,2,4,81,84
2,242009,249571,2,3.2,64,65
2,0,0,1,3.4,67,67
2,0,0,1,3.6,73,71
2,0,0,1,2.5,49,34
2,628597,617338,1,3,60,87
2,0,0,2,4.5,89,91
1,894210,903764,2,3.6,72,85
2,12055,11750,1,3.3,66,69
2,12055,11750,1,3.3,66,69
2,0,0,2,4.7,93,90
2,10255,10664,1,3.3,65,82
2,4949,4925,1,3,60,68
2,0,0,2,3.9,78,79
2,0,0,1,0,0,0
2,1402,1375,1,0,0,0
2,31190,31215,1,2.5,50,33
3,0,0,1,1.3,26,24
2,0,0,1,3.4,67,67
2,31593,30850,1,3.5,63,85
2,0,0,1,2.6,53,59
2,0,0,1,3.3,66,72
2,0,0,2,4.6,92,92
7,823844,815195,2,4.7,93,89
2,26489,26652,1,3.6,72,80
2,0,0,1,2.1,43,27
2,0,0,1,2.5,49,34
8,942649,944949,2,4.6,92,92
2,0,0,2,3.9,78,79
2,616920,597053,2,3.5,70,74
5,0,0,1,2.3,45,24
2,0,0,1,3.1,62,62
2,846903,806206,2,4.7,93,91
1,894210,903764,2,3.6,72,85
5,37718,36462,2,4.3,86,88
2,0,0,1,3.6,73,71
2,0,0,1,3.9,77,0
2,0,0,1,2.6,53,59
2,0,0,1,0,0,0
2,231947,228432,1,3.7,74,87
2,0,0,1,2.9,58,80
2,0,0,1,3.9,77,0
3,0,0,1,1.3,26,24
2,77740,76520,1,3,60,65
2,0,0,2,4.5,91,90
2,0,0,1,3.9,77,0
2,0,0,2,4.5,91,90
2,0,0,1,2.5,51,41
2,0,0,2,4.7,93,90
2,0,0,1,3.1,63,86
2,0,0,2,3.7,74,80
2,0,0,2,4.5,89,91
2,0,0,2,4.6,92,92
2,0,0,1,2.6,52,49
2,0,0,2,4.1,82,90
2,0,0,1,3.1,63,86
2,0,0,1,3.1,63,75
2,996193,739521,2,4.2,83,80
2,62322,60724,2,4.5,89,92
2,457911,402901,2,4,79,87
3,0,0,1,1.3,26,24
8,942649,944949,2,4.6,92,92
2,42042,41347,1,4.9,98,97
2,0,0,1,3.1,63,77
2,0,0,1,0,0,0
2,79800,79476,1,2.7,54,49
2,28514,26157,1,3,60,72
2,62322,60724,2,4.5,89,92
2,0,0,1,3,60,0
2,0,0,1,3.6,73,74
2,9916,9353,1,4.7,93,82
1,894210,903764,2,3.6,72,85
2,0,0,1,3.5,70,39
3,0,0,2,4,79,80
2,0,0,1,3.3,66,72
2,0,0,1,3.3,66,61
2,31190,31215,1,2.5,50,33
2,0,0,1,2.6,53,59
5,37718,36462,2,4.3,86,88
2,0,0,1,3.3,66,61
2,79800,79476,1,2.7,54,49
2,0,0,1,3.1,63,86
2,0,0,2,4.4,88,91
2,1402,1375,1,0,0,0
3,0,0,2,4.3,86,84
2,28514,26157,1,3,60,72
2,0,0,1,2.6,52,49
2,440208,914158,1,2.8,56,45
2,224402,223919,2,3.1,63,70
2,628597,617338,1,3,60,87
2,0,0,1,3,60,29
1,0,0,2,4.6,92,91
2,0,0,1,3.4,67,78
3,537448,523515,2,4.2,83,86
5,37718,36462,2,4.3,86,88
2,0,0,2,4.5,91,53
2,0,0,1,2.6,52,49
2,62322,60724,2,4.5,89,92
2,0,0,2,4.5,89,88
5,0,0,1,2.2,44,39
2,46824,46236,1,2.6,52,57
2,189418,186681,1,3.4,67,76
2,0,0,1,3.6,73,71
2,17731,17847,1,2.8,56,73
2,628597,617338,1,3,60,87
2,0,0,1,3.3,66,72
2,0,0,1,0,0,0
2,0,0,2,3.9,78,79
2,0,0,1,3.3,66,72
2,111722,106126,2,3.3,65,70
2,440208,914158,1,2.8,56,45
3,0,0,1,1.3,26,24
2,127093,128617,2,4.3,87,87
2,628597,617338,1,3,60,87
2,0,0,2,4.2,84,84
2,0,0,1,3.4,67,78
2,0,0,2,4.1,82,90
2,0,0,1,2.6,53,59
2,44979,43167,2,4,81,84
2,0,0,1,3,61,65
2,46824,46236,1,2.6,52,57
3,0,0,2,4,79,80
2,0,0,1,0,0,0
2,127093,128617,2,4.3,87,87
2,0,0,2,4.2,83,82
2,247459,141328,2,4,81,85
2,0,0,1,0,0,0
2,0,0,2,4.2,83,82
2,440208,914158,1,2.8,56,45
2,0,0,1,3.1,63,77
2,0,0,2,3.9,78,79
2,358257,150016,2,3.6,73,71
3,537448,523515,2,4.2,83,86
2,118605,114819,2,4.5,90,91
3,0,0,1,1.3,26,24
2,0,0,1,1.7,34,35
2,0,0,2,4.1,82,86
2,0,0,1,4,81,77
5,0,0,1,2.3,45,24
2,0,0,1,0,0,0
2,0,0,1,2.6,53,59
2,457911,402901,2,4,79,87
2,0,0,1,2.1,43,27
2,0,0,2,4.6,92,92
2,0,0,1,2.6,53,59
2,224402,223919,2,3.1,63,70
2,0,0,2,4.7,93,90
2,127093,128617,2,4.3,87,87
2,21813,22456,1,3,60,0
2,0,0,1,3.1,63,86
3,0,0,2,4.3,86,84
1,0,0,2,4.6,92,91
2,31190,31215,1,2.5,50,33
2,0,0,1,3.1,63,75
2,0,0,1,0,0,0
2,0,0,1,3.1,63,77
1,894210,903764,2,3.6,72,85
3,0,0,2,4,79,80
2,247459,141328,2,4,81,85
1,0,0,2,4.6,92,91
2,77740,76520,1,3,60,65
2,0,0,1,3,60,0
2,0,0,2,4.5,90,89
3,537448,523515,2,4.2,83,86
2,0,0,1,2.6,53,59
2,0,0,1,3.1,62,62
2,46824,46236,1,2.6,52,57
2,0,0,1,2.6,52,49
2,0,0,1,2.1,43,27
2,616920,597053,2,3.5,70,74
2,0,0,1,0,0,0
2,628597,617338,1,3,60,87
2,44979,43167,2,4,81,84
2,0,0,2,4.5,91,88
2,26489,26652,1,3.6,72,80
2,628597,617338,1,3,60,87
2,111722,106126,2,3.3,65,70
2,0,0,1,3.6,73,71
2,0,0,2,4.4,88,88
2,189418,186681,1,3.4,67,76
2,34512,34121,1,3.9,77,24
2,0,0,1,2.5,49,34
2,0,0,1,3.6,73,71
3,0,0,2,4,79,80
2,77740,76520,1,3,60,65
2,0,0,2,4.2,83,82
2,0,0,1,0,0,0
2,0,0,1,2.5,51,41
2,0,0,1,3.9,77,0
2,0,0,2,4.5,91,53
2,0,0,2,4.5,90,89
2,21813,22456,1,3,60,0
2,0,0,1,2.6,53,59
2,0,0,2,4.5,89,87
6,0,0,0,2.8,56,59
2,0,0,1,3.4,68,89
2,0,0,2,4.2,83,82
2,0,0,2,4.6,92,91
2,0,0,1,0,0,0
2,0,0,1,2.5,51,41
2,0,0,1,0,0,0
2,0,0,1,3,60,0
2,0,0,1,3,60,0
6,0,0,0,2.8,56,59
2,416462,418512,1,2.5,50,46
2,0,0,1,3.4,67,67
5,37718,36462,2,4.3,86,88
2,0,0,1,2.5,49,34
2,0,0,1,4,81,77
2,0,0,2,4.4,88,88
2,44979,43167,2,4,81,84
8,942649,944949,2,4.6,92,92
2,0,0,1,0,0,0
2,0,0,1,3.9,77,0
2,0,0,1,2.5,51,41
2,242009,249571,2,3.2,64,65
2,330704,318461,2,4.3,87,89
2,0,0,1,0,0,0
2,440208,914158,1,2.8,56,45
3,0,0,2,4,79,80
2,0,0,2,4.4,88,88
2,111722,106126,2,3.3,65,70
2,4949,4925,1,3,60,68
2,0,0,1,3.4,68,89
2,0,0,1,3.5,70,82
2,0,0,1,0,0,0
2,0,0,2,4.7,93,90
5,0,0,1,2.3,45,24
2,0,0,1,3.1,63,86
2,31593,30850,1,3.5,63,85
1,0,0,2,4.6,92,91
2,0,0,2,4.6,92,91
2,247038,239927,2,4.5,89,89
2,0,0,1,2.6,53,59
2,0,0,1,3,60,0
2,0,0,1,3.6,73,89
2,62322,60724,2,4.5,89,92
2,224402,223919,2,3.1,63,70
2,28514,26157,1,3,60,72
2,0,0,2,4.7,93,90
2,457911,402901,2,4,79,87
2,0,0,1,0,0,0
2,0,0,2,3.8,75,98
2,77740,76520,1,3,60,65
2,996193,739521,2,4.2,83,80
2,0,0,1,3.3,66,72
2,0,0,2,4.5,89,91
2,9916,9353,1,4.7,93,82
5,37718,36462,2,4.3,86,88
2,846903,806206,2,4.7,93,91
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,3.8,75,98
3,0,0,1,1.3,26,24
2,10248,10271,2,4.5,91,90
3,537448,523515,2,4.2,83,86
2,0,0,1,2.5,51,41
2,0,0,1,0.3,7,29
2,26489,26652,1,3.6,72,80
2,26489,26652,1,3.6,72,80
2,996193,739521,2,4.2,83,80
2,616920,597053,2,3.5,70,74
2,0,0,1,0.3,7,29
2,0,0,1,3.6,73,71
2,0,0,1,2.6,53,59
2,0,0,1,2.5,51,41
2,0,0,2,4.4,88,88
2,0,0,1,2.8,56,56
2,0,0,2,4.4,88,88
2,46824,46236,1,2.6,52,57
3,537448,523515,2,4.2,83,86
6,0,0,0,2.8,56,59
2,0,0,1,3.6,73,71
2,62322,60724,2,4.5,89,92
2,34512,34121,1,3.9,77,24
2,0,0,1,3.4,67,67
2,28514,26157,1,3,60,72
2,0,0,1,2.6,52,49
2,0,0,1,3.4,68,89
2,28514,26157,1,3,60,72
2,0,0,1,1.7,34,35
2,4157,4344,1,3.8,76,97
2,457911,402901,2,4,79,87
2,0,0,1,2.1,42,43
6,0,0,0,2.8,56,59
2,246043,515530,1,0,0,0
2,358257,150016,2,3.6,73,71
2,0,0,1,0,0,0
2,0,0,2,4,81,80
2,628597,617338,1,3,60,87
2,62322,60724,2,4.5,89,92
2,10248,10271,2,4.5,91,90
5,37718,36462,2,4.3,86,88
2,0,0,1,2.1,43,27
2,0,0,2,4.7,93,90
2,0,0,1,3.4,68,89
1,0,0,2,4.2,83,83
2,0,0,2,4.5,91,53
2,0,0,1,0,0,0
2,46824,46236,1,2.6,52,57
2,0,0,1,0,0,0
2,0,0,1,2.1,42,43
2,0,0,2,4.5,91,90
2,0,0,1,3.1,63,77
2,44979,43167,2,4,81,84
2,0,0,1,2.6,53,59
5,37718,36462,2,4.3,86,88
2,0,0,2,4,80,80
2,0,0,1,2.6,53,59
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,189418,186681,1,3.4,67,76
2,0,0,2,4.1,82,90
2,616920,597053,2,3.5,70,74
2,247038,239927,2,4.5,89,89
2,0,0,2,4.1,82,90
5,0,0,1,2.2,44,39
2,111722,106126,2,3.3,65,70
2,0,0,2,4.6,92,91
2,0,0,2,4,81,80
2,46824,46236,1,2.6,52,57
2,0,0,1,3.1,63,74
1,0,0,2,4.2,83,83
5,0,0,1,2.2,44,39
2,189418,186681,1,3.4,67,76
2,330704,318461,2,4.3,87,89
2,0,0,1,0,0,0
2,0,0,1,1.7,34,35
2,0,0,2,4.1,82,90
2,149787,144566,1,2.3,45,43
2,0,0,1,3.1,63,77
2,0,0,1,4,81,77
2,0,0,1,3.1,63,86
2,0,0,1,4,81,77
2,0,0,2,4.6,92,91
8,942649,944949,2,4.6,92,92
2,246043,515530,1,0,0,0
2,246043,515530,1,0,0,0
2,0,0,2,4.5,89,91
2,0,0,1,4,81,77
2,0,0,1,3.9,77,0
2,12055,11750,1,3.3,66,69
2,231947,228432,1,3.7,74,87
2,0,0,1,2.6,53,59
2,247459,141328,2,4,81,85
2,0,0,1,3,61,65
2,0,0,1,3.1,63,75
2,189418,186681,1,3.4,67,76
2,457911,402901,2,4,79,87
3,0,0,1,1.3,26,24
2,416462,418512,1,2.5,50,46
2,0,0,1,4.6,92,90
2,0,0,1,2.6,53,59
2,0,0,1,0,0,0
2,17731,17847,1,2.8,56,73
2,1402,1375,1,0,0,0
2,0,0,1,3.1,63,75
2,0,0,1,3.1,63,75
2,0,0,1,3.9,77,0
2,46824,46236,1,2.6,52,57
2,0,0,2,4.5,91,53
2,0,0,2,4.5,89,91
2,0,0,1,3.1,62,62
2,0,0,1,3.6,73,71
2,0,0,1,2.6,53,59
2,0,0,1,3.5,70,82
6,0,0,0,2.8,56,59
2,4157,4344,1,3.8,76,97
2,0,0,1,3.4,68,89
2,0,0,1,3.5,70,82
2,0,0,2,4.5,89,88
2,0,0,1,0,0,0
2,0,0,2,4.5,91,90
2,0,0,1,3.4,67,67
2,0,0,1,0,0,0
2,440208,914158,1,2.8,56,45
2,9916,9353,1,4.7,93,82
2,0,0,2,4.5,91,53
2,21813,22456,1,3,60,0
2,416462,418512,1,2.5,50,46
2,0,0,1,3,60,0
2,44979,43167,2,4,81,84
2,0,0,1,3.1,63,86
2,246043,515530,1,0,0,0
2,440208,914158,1,2.8,56,45
2,0,0,1,2.5,51,41
2,21813,22456,1,3,60,0
2,0,0,1,3,61,73
2,0,0,2,4.5,91,90
2,118605,114819,2,4.5,90,91
2,0,0,1,3.1,62,62
2,13292,13292,1,3,60,0
3,0,0,1,1.3,26,24
2,0,0,1,1.7,34,35
2,42042,41347,1,4.9,98,97
2,996193,739521,2,4.2,83,80
2,0,0,2,4.1,82,90
2,0,0,1,3.5,70,39
2,440208,914158,1,2.8,56,45
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,3.5,69,92
2,616920,597053,2,3.5,70,74
2,26489,26652,1,3.6,72,80
2,10248,10271,2,4.5,91,90
2,0,0,1,0.3,7,29
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,3.1,63,75
2,0,0,1,0,0,0
2,0,0,1,3.9,77,0
2,4949,4925,1,3,60,68
2,0,0,2,4.6,92,91
2,149787,144566,1,2.3,45,43
2,416462,418512,1,2.5,50,46
2,0,0,2,4.5,91,90
2,0,0,1,3.1,63,86
2,0,0,1,3.1,63,86
2,0,0,1,3.1,63,77
2,0,0,1,0,0,0
2,42042,41347,1,4.9,98,97
2,10255,10664,1,3.3,65,82
2,0,0,1,3.6,73,71
2,0,0,1,3.9,77,0
2,416462,418512,1,2.5,50,46
5,37718,36462,2,4.3,86,88
2,0,0,1,3.1,63,77
2,79800,79476,1,2.7,54,49
2,330704,318461,2,4.3,87,89
2,0,0,2,4.6,92,91
3,537448,523515,2,4.2,83,86
2,21813,22456,1,3,60,0
2,0,0,1,0,0,0
3,0,0,2,4.3,86,84
2,0,0,1,3.6,73,74
2,0,0,1,3.4,68,89
2,0,0,1,3,61,82
2,416462,418512,1,2.5,50,46
2,0,0,2,4.7,93,90
2,0,0,1,3.3,66,61
2,0,0,1,2.1,43,27
2,0,0,1,3.6,73,74
2,0,0,2,4.5,91,88
2,358257,150016,2,3.6,73,71
2,0,0,1,2.6,52,49
2,34512,34121,1,3.9,77,24
2,0,0,2,4,81,80
2,10248,10271,2,4.5,91,90
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,3.1,63,77
2,0,0,1,3.1,63,86
2,0,0,1,3.3,66,72
5,0,0,1,2.3,45,24
2,0,0,1,2.6,53,59
2,0,0,1,0.3,7,29
2,0,0,1,3.5,69,92
2,149787,144566,1,2.3,45,43
2,0,0,1,3.6,73,89
2,846903,806206,2,4.7,93,91
5,37718,36462,2,4.3,86,88
2,616920,597053,2,3.5,70,74
2,79800,79476,1,2.7,54,49
2,79800,79476,1,2.7,54,49
2,77740,76520,1,3,60,65
6,0,0,0,2.8,56,59
2,111722,106126,2,3.3,65,70
2,0,0,1,3.5,70,82
2,0,0,2,4.4,88,88
5,37718,36462,2,4.3,86,88
2,0,0,1,3.1,63,75
2,628597,617338,1,3,60,87
2,118605,114819,2,4.5,90,91
2,0,0,2,4.5,89,91
2,628597,617338,1,3,60,87
2,0,0,1,1.7,34,35
2,0,0,1,2.6,53,59
2,247459,141328,2,4,81,85
2,242009,249571,2,3.2,64,65
2,0,0,1,3.1,62,62
2,62322,60724,2,4.5,89,92
2,0,0,2,3.8,75,98
2,28514,26157,1,3,60,72
2,0,0,1,3.1,63,74
2,149787,144566,1,2.3,45,43
2,0,0,2,4.5,91,53
2,9916,9353,1,4.7,93,82
2,457911,402901,2,4,79,87
2,31190,31215,1,2.5,50,33
2,0,0,2,4.1,82,90
2,4949,4925,1,3,60,68
2,846903,806206,2,4.7,93,91
2,616920,597053,2,3.5,70,74
2,118605,114819,2,4.5,90,91
2,31190,31215,1,2.5,50,33
2,79800,79476,1,2.7,54,49
2,0,0,1,0,0,0
2,6864,6990,1,3,61,61
2,6864,6990,1,3,61,61
2,0,0,1,0,0,0
2,0,0,1,3.3,66,61
2,0,0,1,3.1,63,75
2,0,0,1,3,60,29
2,0,0,1,3,60,0
2,0,0,1,3.4,67,67
2,0,0,1,0,0,0
2,0,0,1,0.3,7,29
2,44979,43167,2,4,81,84
2,62322,60724,2,4.5,89,92
