website_type,safety_r,reputation,trustworthiness,child_safety,readability
2,1,3.4,68,79,0
2,1,3.4,68,79,0
2,1,0,0,0,1
2,1,0,0,0,3
2,2,4.5,91,53,3
2,2,4.7,94,94,2
2,1,0,0,0,1
2,1,3.4,68,79,4
2,2,3.1,63,68,1
2,1,4.3,87,0,2
2,1,4.3,87,0,4
2,2,4.5,89,87,2
2,2,3.1,63,68,0
2,1,0,0,0,3
2,2,3.1,63,68,0
1,2,4.5,90,90,3
2,1,2.8,56,56,1
2,2,4.5,89,88,1
2,1,0,0,0,0
2,1,0,0,0,0
2,2,3.1,63,68,0
2,1,0,0,0,3
2,1,3.1,63,77,0
2,2,3.1,63,68,0
2,2,3.5,69,70,4
3,2,4.3,86,84,0
2,1,0,0,0,0
2,2,4.7,94,94,1
2,1,2.5,50,29,1
2,2,3.9,77,99,4
2,0,1.2,24,28,0
2,2,4,81,76,2
2,1,2.5,50,29,2
2,2,3.1,63,68,0
2,2,4.5,89,87,4
2,1,2.9,57,71,0
2,1,3.4,68,79,0
2,1,0,0,0,5
2,0,1.2,24,28,3
2,2,4,81,76,3
2,1,0,0,0,0
2,1,0,0,0,0
2,2,3.5,69,70,1
2,2,4.7,94,94,3
2,1,4,80,93,0
2,1,3.1,63,77,2
2,1,4.3,86,100,0
2,1,0,0,0,0
2,1,4.3,86,100,0
2,1,4.3,87,0,0
8,2,4.6,92,92,0
2,1,0,0,0,1
2,1,4,80,93,0
2,2,4.7,94,94,3
2,2,4.7,94,82,0
2,2,3.1,63,68,0
8,2,4.6,92,92,0
2,1,2.8,56,56,0
2,1,0,0,0,2
2,1,2.1,42,58,0
2,1,2.5,50,29,1
2,2,3.1,63,68,1
2,1,2.8,56,56,0
2,1,2.5,50,0,0
2,2,4.5,89,87,3
2,1,0,0,0,3
2,1,2.4,48,3,3
2,2,3.5,69,70,2
2,1,4.3,87,0,4
3,2,4.2,83,86,0
2,2,3.5,69,70,2
1,2,3.6,72,85,1
2,1,0,0,0,0
2,1,4.3,86,100,0
2,1,3.1,63,77,1
2,1,4,80,93,2
2,2,3.5,69,70,3
2,1,0,0,0,0
3,2,4.3,86,84,0
2,1,0,0,0,3
8,2,4.6,92,92,0
2,1,0,0,0,1
2,1,2.1,42,58,1
2,1,0,0,0,1
2,0,1.2,24,28,0
2,2,4.5,89,87,2
2,2,3.1,63,68,1
1,2,3.6,72,85,2
2,1,2.5,50,29,4
2,1,2.5,50,0,0
2,1,0,0,0,2
2,2,4.5,89,87,3
2,1,0,0,0,3
2,1,3,60,55,5
2,1,2.9,57,71,2
2,1,0,0,0,3
2,1,0,0,0,1
2,2,3.5,69,70,3
2,2,3.5,69,70,3
2,2,3.5,69,70,1
2,1,0,0,0,2
2,1,0,0,0,0
1,2,4.5,90,90,0
2,1,0,0,0,2
2,2,3.5,69,70,2
2,1,0,0,0,3
2,2,3.5,69,70,3
2,1,4,80,93,1
2,2,4,81,76,2
2,1,0,0,0,0
2,1,0,0,0,0
2,1,0,0,0,2
8,2,4.6,92,92,0
2,2,4.1,82,90,0
2,2,4.1,82,86,3
2,1,1.6,33,31,0
6,1,2.3,45,41,4
2,2,4.3,86,89,1
2,2,3.1,63,68,0
2,2,4.7,94,82,0
2,1,0,0,0,0
2,2,3.1,63,68,0
2,1,0,0,0,3
2,1,0,0,0,0
2,1,0,0,0,3
2,2,3.5,69,70,1
2,1,4,80,93,0
1,2,4.5,90,90,3
2,2,3.1,63,68,0
2,1,4.7,94,61,0
2,1,2.4,48,3,2
2,1,3.3,66,61,0
2,1,0,0,0,0
2,2,4.7,94,94,5
2,1,0,0,0,3
2,2,3.1,63,68,2
2,1,0,0,0,0
2,1,0,0,0,2
2,1,0,0,0,0
2,1,0,0,0,4
2,1,4,80,93,2
2,1,3.4,68,79,0
2,1,4.3,87,0,4
2,2,4.5,89,87,3
2,2,3.1,63,68,0
2,1,0,0,0,4
2,2,3.9,77,99,1
2,1,0,0,0,0
2,1,2.5,50,0,0
2,1,2.5,50,29,3
2,1,0,0,0,2
2,1,4,80,93,0
2,1,0,0,0,2
2,2,4.5,89,87,1
2,1,3,61,62,2
2,2,3.1,63,68,0
2,1,0,0,0,0
2,2,3.9,77,99,3
2,1,0,0,0,0
2,1,4,80,93,0
2,2,4.3,85,86,4
2,0,1.2,24,28,0
2,2,3.5,69,70,2
2,1,0,0,0,1
2,1,0,0,0,1
2,2,4.3,87,87,4
2,1,0,0,0,3
2,1,0,0,0,1
2,1,4.2,84,0,1
2,1,3.3,66,61,2
2,1,0,0,0,0
1,2,3.6,72,85,2
2,1,2.5,50,0,3
2,1,3.4,68,79,0
1,2,3.6,72,85,3
2,1,2.5,50,29,0
2,1,0,0,0,0
2,1,2.8,56,56,0
2,2,4.1,82,90,2
2,1,4,80,93,0
2,1,0,0,0,0
2,1,0,0,0,1
2,1,2.5,50,11,3
2,1,0,0,0,0
2,1,0,0,0,2
1,2,3.6,72,85,1
2,1,2.5,50,0,0
2,1,2.5,50,11,0
2,1,0,0,0,3
2,1,0,0,0,0
2,2,3.1,63,68,0
2,2,3.1,63,68,0
2,2,4,81,76,3
1,1,2.9,58,76,5
2,2,4.1,82,86,3
2,1,0,0,0,0
2,1,0,0,0,1
2,1,0,0,0,0
2,1,4.3,87,0,4
1,1,3,60,54,0
2,1,0,0,0,1
1,2,3.6,72,85,0
2,1,0,0,0,1
2,1,0,0,0,0
2,1,0,0,0,0
2,1,4,80,93,3
2,2,4,81,76,1
2,1,4,80,93,0
2,1,0,0,0,1
2,1,2.5,49,51,0
2,2,4.7,94,82,0
2,2,4.1,82,86,2
2,1,0,0,0,0
2,1,4.6,92,90,3
2,2,4.7,94,82,0
2,1,0,0,0,3
2,1,0,0,0,0
2,1,0,0,0,2
2,2,4.3,87,87,2
2,2,4.7,94,82,0
2,2,3.1,63,68,2
2,2,3.1,63,68,0
