date,sentiment
817,0.484022556
803,0.26
820,0.39075388
792,0.420259259
814,0.475121753
820,0.370855615
806,0.449305556
819,0.456232752
813,0.479301748
803,0.236160714
820,0.245227273
820,0.225
820,0.473111785
814,0.385960473
809,0.387731481
790,0.109375
820,0.50345689
812,0.524594156
820,0.478611111
818,0.291579517
818,0.596212121
820,0.454012508
801,0.394770653
809,0.354877594
807,0.523149866
815,0.579292929
793,0.591486985
801,0.443915344
804,0.424774807
817,0.406397306
797,0.427367988
805,0.438714142
820,0.412626263
813,0.541666667
814,0.414187386
814,0.389858467
808,0.451490176
814,0.278944444
815,0.45515873
805,0.594362582
818,0.404092803
799,0.450542488
807,0.377857143
810,0.474358974
812,0.438134921
816,0.465402367
817,0.461666667
815,0.394545455
804,0.381267715
819,0.441369048
814,0.475883257
819,0.32769697
820,0.45316092
793,0.414986772
808,0.477170868
817,0.550045788
809,0.461476024
819,0.384587333
804,0.54040855
808,0.515386905
794,0.376822002
792,0.399382148
803,0.3
805,0.480612245
816,0.509297052
812,0.447569444
818,0.515625
815,0.450883838
814,0.493771173
808,0.435157322
813,0.451851852
798,0.349562937
816,0.294124717
807,0.539119769
814,0.382782072
817,0.578125
816,0.496053946
806,0.425793651
796,0.656390977
803,0.39521919
807,0.421796537
794,0.432756133
815,0.55469697
809,0.319770408
814,0.440715517
818,0.423411095
818,0.460995748
811,0.428885582
812,0.484499618
820,0.6375
820,0.424338624
819,0.43959666
817,0.39714425
819,0.454697575
798,0.334090909
812,0.253333333
806,0.434141988
820,0.15
818,0.46865873
808,0.434835984
805,0.306149733
815,0.40625
811,0.443154762
800,0.40771722
804,0.419880229
814,0.39767316
812,0.335416667
803,0.401108289
804,0.34950325
820,0.506450865
804,0.38029415
818,0.489393939
790,0.348162941
819,0.875
810,0.383333333
796,0.442291667
806,0.397901876
793,0.489563185
809,0.35719697
815,0.25537037
809,0.458983641
816,0.330767652
812,0.306926407
800,0.680769231
817,0.433524904
798,0.587323481
800,0.420509762
