friends,followes,date
0,0,800
0,0,813
894210,903764,792
0,0,820
0,0,818
0,0,793
0,0,818
0,0,817
537448,523515,810
0,0,815
0,0,808
0,0,798
46824,46236,806
149787,144566,814
823844,815195,813
537448,523515,811
4157,4344,801
0,0,810
4157,4344,810
628597,617338,804
416462,418512,813
0,0,812
247038,239927,814
0,0,808
358257,150016,819
0,0,819
37718,36462,815
0,0,813
0,0,818
0,0,814
0,0,820
246043,515530,818
0,0,791
28514,26157,810
0,0,820
0,0,811
0,0,808
28514,26157,815
0,0,815
0,0,818
0,0,811
0,0,812
0,0,819
0,0,806
0,0,819
4157,4344,808
894210,903764,807
0,0,809
0,0,820
0,0,811
0,0,810
0,0,816
0,0,820
0,0,817
0,0,817
0,0,805
10248,10271,818
823844,815195,793
823844,815195,805
37718,36462,815
242009,249571,818
231947,228432,812
46824,46236,818
596710,561909,818
0,0,805
0,0,811
0,0,812
0,0,814
111722,106126,815
358257,150016,818
0,0,816
0,0,800
0,0,799
614338,622508,791
597340,618906,794
0,0,816
0,0,819
42042,41347,807
0,0,812
46824,46236,814
0,0,813
0,0,819
0,0,819
0,0,816
996193,739521,807
358257,150016,813
0,0,808
0,0,819
79800,79476,801
0,0,790
0,0,806
224402,223919,819
0,0,801
0,0,818
0,0,811
628597,617338,813
0,0,819
0,0,817
894210,903764,794
0,0,818
26489,26652,807
358257,150016,813
440208,914158,816
0,0,812
616920,597053,810
0,0,810
0,0,807
127093,128617,814
0,0,819
422730,424756,819
0,0,819
0,0,817
0,0,818
0,0,815
942649,944949,818
0,0,814
0,0,820
77740,76520,818
0,0,807
0,0,816
0,0,815
0,0,806
149787,144566,809
0,0,819
10248,10271,818
0,0,813
422730,424756,820
127093,128617,818
0,0,815
1402,1375,815
0,0,818
0,0,796
0,0,807
0,0,817
0,0,816
614338,622508,793
0,0,820
